Region,Country,Population,Facility Name,Facility Type,Number of Beds,Number of Doctors,Number of Nurses,Annual Patient Visits,Emergency Response Time (minutes),Funding Received (USD),Electricity Availability,Internet Availability,Patient Satisfaction Rate (%),Average Distance to Facility (km)
Southern Zambia,Zambia,6476,Southern Facility 1029,Health Center,27,3,11,9168,17,130282,Yes,No,90.0,12.7
Central Senegal,Senegal,1533,Central Facility 1030,Hospital,22,16,26,13548,53,181907,No,Yes,77.0,15.8
Dar es Salaam,Tanzania,6370,Dar Facility 1031,Health Center,80,16,10,12032,49,154948,No,No,78.1,1.2
Eastern Nigeria,Nigeria,8234,Eastern Facility 1032,Health Center,88,18,8,4540,29,162149,Yes,Yes,93.3,3.0
Northern Ghana,Ghana,1910,Northern Facility 1033,Hospital,16,17,38,19914,32,113257,Yes,No,87.1,17.6
Eastern Ethiopia,Ethiopia,1491,Eastern Facility 1034,Health Center,67,12,40,4974,46,58314,Yes,No,90.4,14.1
Eastern Rwanda,Rwanda,7513,Eastern Facility 1035,Hospital,9,11,44,10653,28,173986,Yes,Yes,77.8,10.4
Eastern Rwanda,Rwanda,5792,Eastern Facility 1036,Hospital,30,18,43,11523,14,107207,Yes,No,76.3,16.7
Eastern Rwanda,Rwanda,4684,Eastern Facility 1037,Health Center,42,8,29,18064,39,133024,No,No,73.6,2.5
Northern Ghana,Ghana,4775,Northern Facility 1038,Hospital,42,20,22,18159,52,78702,Yes,Yes,80.5,1.7
Eastern Rwanda,Rwanda,1203,Eastern Facility 1039,Health Center,37,11,44,9238,60,18997,Yes,No,92.3,5.6
Western Uganda,Uganda,1312,Western Facility 1040,Clinic,87,12,21,5002,47,95452,No,Yes,66.1,8.1
Eastern Rwanda,Rwanda,8001,Eastern Facility 1041,Clinic,80,8,32,13634,42,158737,Yes,No,81.4,8.9
Eastern Nigeria,Nigeria,7403,Eastern Facility 1042,Clinic,10,7,35,2007,27,154021,Yes,Yes,69.4,16.8
Dar es Salaam,Tanzania,618,Dar Facility 1043,Hospital,91,4,9,3324,19,121416,Yes,No,91.0,12.6
Northern Ghana,Ghana,7656,Northern Facility 1044,Health Center,9,2,21,18776,50,50133,No,No,82.5,1.6
Dar es Salaam,Tanzania,9198,Dar Facility 1045,Clinic,17,1,5,4504,45,51452,No,No,71.5,1.1
Central Senegal,Senegal,2474,Central Facility 1046,Hospital,10,16,26,15702,54,102142,No,No,70.2,15.5
Dar es Salaam,Tanzania,6929,Dar Facility 1047,Clinic,67,3,38,7120,31,110161,No,Yes,60.6,1.4
Southern Zambia,Zambia,6950,Southern Facility 1048,Hospital,54,14,45,4853,6,102598,Yes,No,74.5,6.2
Western Uganda,Uganda,9416,Western Facility 1049,Health Center,15,11,31,16678,39,141601,No,Yes,65.7,11.7
Central Senegal,Senegal,7494,Central Facility 1050,Health Center,88,10,36,5860,41,19689,No,No,93.7,16.7
Dar es Salaam,Tanzania,8773,Dar Facility 1051,Clinic,5,4,49,16139,54,21003,Yes,No,70.8,16.3
Western Uganda,Uganda,5205,Western Facility 1052,Health Center,58,14,14,3974,50,28202,Yes,No,71.8,6.7
Northern Ghana,Ghana,3831,Northern Facility 1053,Health Center,96,6,14,2683,9,161334,No,No,89.1,13.5
Northern Ghana,Ghana,3628,Northern Facility 1054,Health Center,75,11,47,15832,10,198029,No,No,75.2,1.1
Western Uganda,Uganda,8886,Western Facility 1055,Health Center,91,5,30,16239,7,94363,No,No,73.5,18.8
Central Malawi,Malawi,3256,Central Facility 1056,Hospital,52,8,19,19015,12,16102,Yes,No,92.2,13.8
Eastern Rwanda,Rwanda,4813,Eastern Facility 1057,Clinic,70,19,15,17855,26,76510,Yes,No,73.7,19.6
Western Uganda,Uganda,6991,Western Facility 1058,Health Center,36,11,35,17006,52,116733,No,No,77.7,6.8
Eastern Nigeria,Nigeria,8973,Eastern Facility 1059,Health Center,23,14,32,18610,59,23841,No,Yes,85.9,8.2
Central Senegal,Senegal,3289,Central Facility 1060,Clinic,59,11,31,7570,32,63835,Yes,No,80.8,11.7
Northern Ghana,Ghana,9531,Northern Facility 1061,Clinic,16,2,16,12448,36,163290,Yes,Yes,89.2,7.5
Western Kenya,Kenya,2724,Western Facility 1062,Clinic,79,11,45,7202,21,135628,Yes,No,84.4,15.2
Western Uganda,Uganda,4061,Western Facility 1063,Hospital,43,16,23,16903,55,157640,Yes,No,80.2,17.9
Central Senegal,Senegal,7460,Central Facility 1064,Hospital,15,14,41,4614,17,131878,No,No,64.8,16.5
Central Senegal,Senegal,1348,Central Facility 1065,Health Center,42,18,13,6938,27,193851,No,Yes,61.5,13.6
Western Uganda,Uganda,816,Western Facility 1066,Health Center,73,1,17,4534,52,79011,No,Yes,82.6,16.8
Eastern Nigeria,Nigeria,776,Eastern Facility 1067,Clinic,85,5,43,12667,47,64381,No,No,65.1,13.0
Central Senegal,Senegal,8000,Central Facility 1068,Hospital,98,3,5,3611,13,84321,No,Yes,73.2,12.9
Southern Zambia,Zambia,2503,Southern Facility 1069,Clinic,96,16,18,13470,21,125355,Yes,No,76.5,1.1
Northern Ghana,Ghana,935,Northern Facility 1070,Hospital,32,14,29,13746,37,36365,No,No,88.5,4.4
Eastern Ethiopia,Ethiopia,8246,Eastern Facility 1071,Clinic,51,20,47,4625,23,79081,Yes,No,84.1,11.5
Central Malawi,Malawi,9987,Central Facility 1072,Health Center,97,3,24,1285,41,186557,No,No,65.6,4.4
Eastern Nigeria,Nigeria,1035,Eastern Facility 1073,Hospital,81,14,35,12144,5,110289,Yes,No,69.3,1.6
Central Malawi,Malawi,3114,Central Facility 1074,Clinic,19,12,33,4789,17,138027,No,Yes,82.1,18.1
Western Uganda,Uganda,5091,Western Facility 1075,Clinic,35,9,36,18321,49,74327,Yes,Yes,75.2,6.7
Northern Ghana,Ghana,9139,Northern Facility 1076,Health Center,25,8,36,14108,50,27511,Yes,No,61.1,8.7
Western Kenya,Kenya,5162,Western Facility 1077,Clinic,89,19,14,3381,21,197031,No,No,84.3,19.6
Eastern Nigeria,Nigeria,2388,Eastern Facility 1078,Clinic,51,6,11,18330,11,84084,No,Yes,90.7,4.2
Southern Zambia,Zambia,6571,Southern Facility 1079,Health Center,98,6,48,1771,10,142282,No,No,83.9,6.1
Eastern Nigeria,Nigeria,4362,Eastern Facility 1080,Hospital,77,2,16,3613,21,36228,No,No,81.6,15.4
Central Senegal,Senegal,9175,Central Facility 1081,Health Center,73,7,42,16438,37,151437,No,No,76.3,13.2
Eastern Ethiopia,Ethiopia,6018,Eastern Facility 1082,Clinic,48,17,40,17196,34,53177,Yes,No,91.1,7.5
Eastern Ethiopia,Ethiopia,2267,Eastern Facility 1083,Health Center,35,18,11,13787,14,37559,No,No,74.0,12.1
Eastern Rwanda,Rwanda,8345,Eastern Facility 1084,Hospital,76,17,41,7176,47,13030,No,No,65.1,19.5
Central Malawi,Malawi,6656,Central Facility 1085,Health Center,62,3,30,11956,47,78629,No,No,70.3,4.6
Western Uganda,Uganda,1046,Western Facility 1086,Clinic,87,13,8,18627,60,113617,Yes,Yes,89.1,18.5
Eastern Rwanda,Rwanda,2891,Eastern Facility 1087,Clinic,52,11,15,11736,38,172869,Yes,No,61.0,4.8
Western Kenya,Kenya,6490,Western Facility 1088,Hospital,29,13,26,18634,34,24652,No,Yes,95.0,5.9
Western Kenya,Kenya,1705,Western Facility 1089,Clinic,63,19,12,9341,6,65488,Yes,Yes,61.0,1.6
Eastern Nigeria,Nigeria,8647,Eastern Facility 1090,Hospital,26,6,14,7939,29,188290,No,Yes,86.9,8.9
Central Malawi,Malawi,1001,Central Facility 1091,Clinic,73,20,48,5415,26,120613,Yes,No,84.8,17.7
Western Uganda,Uganda,5312,Western Facility 1092,Health Center,27,9,48,1629,43,120868,Yes,No,65.1,10.4
Southern Zambia,Zambia,9137,Southern Facility 1093,Health Center,27,16,17,1344,33,136447,No,Yes,90.2,7.4
Southern Zambia,Zambia,3298,Southern Facility 1094,Clinic,29,1,12,2517,58,90899,No,No,88.8,9.8
Dar es Salaam,Tanzania,2776,Dar Facility 1095,Health Center,91,5,30,9052,24,188631,No,No,65.1,15.4
Northern Ghana,Ghana,1118,Northern Facility 1096,Hospital,54,2,26,14916,60,68184,No,Yes,69.5,2.4
Southern Zambia,Zambia,8468,Southern Facility 1097,Health Center,25,3,45,14400,39,174024,Yes,No,91.5,19.0
Western Uganda,Uganda,7499,Western Facility 1098,Clinic,100,20,9,15409,11,90348,No,No,91.1,4.6
Western Uganda,Uganda,5552,Western Facility 1099,Hospital,42,6,49,18749,52,169023,No,No,73.7,16.2
Eastern Rwanda,Rwanda,3401,Eastern Facility 1100,Clinic,81,2,16,5287,39,14393,Yes,Yes,72.9,3.6
Central Malawi,Malawi,8299,Central Facility 1101,Clinic,7,19,44,14499,28,172276,No,No,83.9,11.1
Central Malawi,Malawi,3308,Central Facility 1102,Health Center,66,19,30,14692,11,114927,Yes,Yes,88.5,16.4
Southern Zambia,Zambia,7692,Southern Facility 1103,Hospital,69,20,35,13067,51,115598,Yes,No,85.2,16.4
Eastern Rwanda,Rwanda,7565,Eastern Facility 1104,Clinic,23,20,46,7063,24,85963,Yes,Yes,84.4,7.6
Central Malawi,Malawi,4980,Central Facility 1105,Health Center,51,15,48,19456,21,165883,No,Yes,86.4,5.5
Eastern Ethiopia,Ethiopia,9660,Eastern Facility 1106,Clinic,34,6,14,16576,49,15553,Yes,Yes,76.6,17.1
Southern Zambia,Zambia,9716,Southern Facility 1107,Health Center,70,8,20,10538,18,178581,No,No,93.6,10.5
Central Malawi,Malawi,3813,Central Facility 1108,Health Center,87,19,29,9991,20,117446,No,Yes,60.9,10.0
Eastern Rwanda,Rwanda,9172,Eastern Facility 1109,Hospital,17,7,38,19765,23,146974,No,Yes,73.8,17.9
Central Malawi,Malawi,7289,Central Facility 1110,Hospital,25,8,46,8727,5,164607,Yes,Yes,75.2,2.8
Western Kenya,Kenya,3963,Western Facility 1111,Hospital,98,15,40,7033,43,132255,No,Yes,74.7,13.5
Southern Zambia,Zambia,1561,Southern Facility 1112,Hospital,67,14,19,16506,46,76688,No,No,65.2,12.1
Western Uganda,Uganda,8794,Western Facility 1113,Hospital,27,18,49,19235,32,106816,Yes,Yes,82.7,13.3
Eastern Nigeria,Nigeria,6234,Eastern Facility 1114,Hospital,35,5,34,8547,44,111177,Yes,Yes,66.0,11.9
Central Malawi,Malawi,5194,Central Facility 1115,Hospital,22,19,48,1303,59,134366,No,No,93.7,14.9
Northern Ghana,Ghana,8582,Northern Facility 1116,Clinic,21,12,5,12715,22,176246,Yes,Yes,83.9,6.5
Western Kenya,Kenya,3461,Western Facility 1117,Health Center,31,20,37,5739,17,52019,Yes,Yes,62.0,2.3
Eastern Rwanda,Rwanda,9722,Eastern Facility 1118,Health Center,33,12,31,11369,35,108186,Yes,No,66.4,5.5
Eastern Nigeria,Nigeria,839,Eastern Facility 1119,Clinic,15,12,32,18567,23,88969,Yes,No,66.7,14.4
Central Senegal,Senegal,8690,Central Facility 1120,Health Center,47,2,35,14559,10,176429,Yes,No,72.3,7.9
Dar es Salaam,Tanzania,9208,Dar Facility 1121,Clinic,92,6,31,9762,28,66974,No,No,69.1,2.3
Northern Ghana,Ghana,5856,Northern Facility 1122,Hospital,94,14,39,12493,57,144549,Yes,Yes,93.5,4.3
Eastern Rwanda,Rwanda,1573,Eastern Facility 1123,Health Center,78,13,34,15960,7,91475,Yes,No,67.5,4.6
Southern Zambia,Zambia,8964,Southern Facility 1124,Health Center,29,16,44,2044,34,51589,No,No,61.6,19.5
Central Malawi,Malawi,2200,Central Facility 1125,Clinic,78,13,33,19790,27,34924,Yes,No,82.8,17.8
Northern Ghana,Ghana,5138,Northern Facility 1126,Hospital,19,1,11,5594,52,144571,Yes,Yes,94.3,11.9
Northern Ghana,Ghana,5602,Northern Facility 1127,Health Center,85,20,23,14640,18,122241,Yes,No,77.0,7.9
Southern Zambia,Zambia,4583,Southern Facility 1128,Clinic,12,2,45,18075,17,169711,Yes,No,87.9,4.9
Western Uganda,Uganda,3872,Western Facility 1129,Clinic,63,20,15,12613,7,30270,Yes,No,84.7,6.3
Western Kenya,Kenya,6296,Western Facility 1130,Health Center,82,12,16,11887,53,27755,No,No,63.4,5.0
Southern Zambia,Zambia,9836,Southern Facility 1131,Clinic,42,4,17,8136,24,50030,No,Yes,85.2,1.1
Eastern Nigeria,Nigeria,7445,Eastern Facility 1132,Clinic,60,4,44,5984,50,192979,No,Yes,60.7,16.5
Northern Ghana,Ghana,7342,Northern Facility 1133,Health Center,54,2,36,4546,12,65353,Yes,No,90.9,3.5
Eastern Ethiopia,Ethiopia,5477,Eastern Facility 1134,Hospital,74,14,41,10858,27,21912,No,No,68.6,18.9
Central Senegal,Senegal,2431,Central Facility 1135,Hospital,77,2,45,15630,10,32242,Yes,Yes,88.2,3.1
Eastern Rwanda,Rwanda,2939,Eastern Facility 1136,Hospital,5,10,38,16282,51,113533,Yes,Yes,75.6,13.1
Eastern Ethiopia,Ethiopia,3345,Eastern Facility 1137,Health Center,33,3,46,13679,35,14978,Yes,No,83.6,7.5
Eastern Nigeria,Nigeria,8610,Eastern Facility 1138,Health Center,67,19,18,17641,18,24607,No,Yes,85.1,16.6
Eastern Rwanda,Rwanda,625,Eastern Facility 1139,Hospital,24,17,29,19779,25,154059,Yes,No,62.7,8.5
Eastern Ethiopia,Ethiopia,7586,Eastern Facility 1140,Health Center,79,5,22,1771,57,99522,No,No,93.9,2.8
Eastern Ethiopia,Ethiopia,4039,Eastern Facility 1141,Health Center,81,19,34,4252,13,47170,No,Yes,77.8,12.7
Eastern Ethiopia,Ethiopia,4339,Eastern Facility 1142,Hospital,80,3,14,16678,50,177396,No,No,78.1,5.1
Southern Zambia,Zambia,5449,Southern Facility 1143,Hospital,15,9,17,8672,19,53973,Yes,Yes,77.1,17.5
Eastern Nigeria,Nigeria,838,Eastern Facility 1144,Health Center,96,15,42,8711,25,53803,Yes,Yes,88.6,15.1
Western Kenya,Kenya,6809,Western Facility 1145,Clinic,49,3,30,5290,29,139552,Yes,No,70.5,19.5
Dar es Salaam,Tanzania,4255,Dar Facility 1146,Health Center,92,3,19,2647,35,82434,Yes,No,88.8,1.5
Northern Ghana,Ghana,4788,Northern Facility 1147,Hospital,43,8,45,11859,45,149079,Yes,No,92.8,1.9
Western Kenya,Kenya,2700,Western Facility 1148,Clinic,38,20,36,6978,31,125262,No,Yes,63.0,12.9
Central Senegal,Senegal,1418,Central Facility 1149,Health Center,83,6,33,10066,53,100063,No,No,75.5,3.9
Central Malawi,Malawi,1332,Central Facility 1150,Health Center,89,18,14,15890,10,142971,Yes,Yes,70.5,12.8
Dar es Salaam,Tanzania,5331,Dar Facility 1151,Hospital,89,6,33,6674,41,116298,Yes,No,69.2,5.0
Central Senegal,Senegal,3668,Central Facility 1152,Health Center,65,7,15,8417,52,76150,Yes,No,68.6,7.4
Central Malawi,Malawi,5114,Central Facility 1153,Clinic,95,8,48,18155,37,34745,No,No,86.9,14.9
Central Senegal,Senegal,5667,Central Facility 1154,Hospital,49,15,49,6537,49,127879,Yes,Yes,72.6,17.6
Dar es Salaam,Tanzania,1129,Dar Facility 1155,Health Center,16,14,18,5377,8,115401,Yes,No,90.9,16.4
Southern Zambia,Zambia,4985,Southern Facility 1156,Health Center,34,10,29,18402,5,58869,Yes,No,85.1,6.2
Southern Zambia,Zambia,3403,Southern Facility 1157,Health Center,17,3,31,16236,13,80099,No,No,61.6,6.0
Central Malawi,Malawi,1654,Central Facility 1158,Hospital,5,10,49,2005,12,104768,No,No,83.3,17.0
Western Uganda,Uganda,9416,Western Facility 1159,Hospital,78,7,46,17144,45,74347,No,Yes,93.7,6.3
Dar es Salaam,Tanzania,7929,Dar Facility 1160,Hospital,6,6,9,6355,53,69760,Yes,No,84.3,14.2
Central Malawi,Malawi,6825,Central Facility 1161,Health Center,35,5,43,12959,40,157881,Yes,Yes,67.0,8.0
Western Kenya,Kenya,4602,Western Facility 1162,Health Center,68,8,49,7315,21,29200,No,Yes,93.4,6.6
Eastern Ethiopia,Ethiopia,8780,Eastern Facility 1163,Health Center,8,14,19,8040,16,165545,No,No,67.1,7.0
Western Uganda,Uganda,4553,Western Facility 1164,Clinic,64,20,12,8674,39,190738,No,No,66.0,10.2
Eastern Ethiopia,Ethiopia,6824,Eastern Facility 1165,Health Center,27,17,49,12162,46,127368,No,No,87.2,2.3
Central Senegal,Senegal,6149,Central Facility 1166,Clinic,90,20,27,17560,26,134276,Yes,No,77.8,4.4
Western Uganda,Uganda,9692,Western Facility 1167,Hospital,38,4,48,2424,5,122492,Yes,Yes,85.2,11.5
Southern Zambia,Zambia,4434,Southern Facility 1168,Health Center,55,16,31,2787,16,92665,Yes,No,73.7,5.9
Northern Ghana,Ghana,2200,Northern Facility 1169,Hospital,93,12,38,4294,21,192961,No,Yes,91.2,12.2
Central Senegal,Senegal,6939,Central Facility 1170,Health Center,28,9,5,10892,41,119770,No,Yes,76.3,15.1
Western Kenya,Kenya,8661,Western Facility 1171,Health Center,26,1,33,16036,34,160745,No,Yes,64.7,8.3
Southern Zambia,Zambia,7418,Southern Facility 1172,Hospital,44,4,12,16966,42,135031,No,No,69.4,3.9
Dar es Salaam,Tanzania,6443,Dar Facility 1173,Hospital,17,2,24,8792,58,11554,Yes,Yes,72.1,12.8
Eastern Ethiopia,Ethiopia,5885,Eastern Facility 1174,Hospital,69,15,11,3997,38,165412,Yes,Yes,71.8,18.4
Western Kenya,Kenya,7433,Western Facility 1175,Clinic,94,2,38,2316,29,185200,Yes,Yes,83.6,18.5
Eastern Rwanda,Rwanda,8084,Eastern Facility 1176,Health Center,44,4,35,11969,17,183728,Yes,Yes,77.4,16.8
Western Kenya,Kenya,903,Western Facility 1177,Health Center,19,5,40,8560,24,84411,Yes,No,65.0,6.5
Western Kenya,Kenya,4631,Western Facility 1178,Hospital,34,15,49,9805,33,89272,Yes,Yes,79.9,5.9
Southern Zambia,Zambia,9361,Southern Facility 1179,Hospital,46,15,33,10588,33,87406,Yes,Yes,64.9,7.4
Eastern Ethiopia,Ethiopia,7839,Eastern Facility 1180,Clinic,45,14,48,5120,52,44611,No,No,88.5,2.7
Western Kenya,Kenya,6252,Western Facility 1181,Health Center,94,4,24,13413,8,149906,Yes,Yes,75.9,17.2
Eastern Ethiopia,Ethiopia,6651,Eastern Facility 1182,Health Center,95,13,30,1863,46,173587,No,No,63.8,19.9
Southern Zambia,Zambia,7750,Southern Facility 1183,Health Center,88,20,31,19158,28,118976,Yes,Yes,77.1,13.1
Eastern Rwanda,Rwanda,7688,Eastern Facility 1184,Clinic,34,8,31,13080,29,17527,No,Yes,85.2,3.3
Eastern Nigeria,Nigeria,8406,Eastern Facility 1185,Health Center,76,1,18,14855,56,147698,Yes,Yes,91.4,6.0
Central Senegal,Senegal,1043,Central Facility 1186,Hospital,26,5,47,17862,5,111080,Yes,No,76.4,13.9
Eastern Rwanda,Rwanda,4155,Eastern Facility 1187,Hospital,49,5,8,4781,22,174939,No,Yes,71.8,1.1
Eastern Nigeria,Nigeria,2553,Eastern Facility 1188,Clinic,67,7,22,9508,60,195209,Yes,Yes,84.0,5.7
Western Uganda,Uganda,981,Western Facility 1189,Clinic,12,11,43,6761,28,32071,Yes,No,67.6,6.3
Central Malawi,Malawi,9842,Central Facility 1190,Health Center,27,17,43,1232,57,135376,No,No,93.8,3.1
Eastern Rwanda,Rwanda,9165,Eastern Facility 1191,Clinic,69,13,19,14724,17,122863,No,No,78.2,17.0
Western Uganda,Uganda,9499,Western Facility 1192,Clinic,66,14,28,17831,6,95902,No,Yes,78.8,7.5
Central Malawi,Malawi,6811,Central Facility 1193,Health Center,34,15,31,10597,26,37142,No,No,60.2,5.8
Eastern Ethiopia,Ethiopia,3950,Eastern Facility 1194,Clinic,11,2,29,9602,58,147885,Yes,Yes,73.3,4.4
Western Uganda,Uganda,598,Western Facility 1195,Health Center,10,5,28,18402,54,21453,Yes,Yes,89.8,13.6
Southern Zambia,Zambia,8260,Southern Facility 1196,Clinic,91,12,29,15538,29,152024,No,No,70.3,9.0
Southern Zambia,Zambia,2727,Southern Facility 1197,Hospital,25,20,11,14637,5,113168,Yes,No,69.3,2.9
Dar es Salaam,Tanzania,6193,Dar Facility 1198,Clinic,34,4,29,6324,9,69633,Yes,No,91.4,3.5
Central Senegal,Senegal,7392,Central Facility 1199,Health Center,75,17,19,12803,42,33486,Yes,Yes,83.3,10.6
Northern Ghana,Ghana,3049,Northern Facility 1200,Health Center,5,5,43,8385,53,105540,No,No,87.3,4.0
Northern Ghana,Ghana,4729,Northern Facility 1201,Clinic,37,5,37,1419,44,87683,Yes,No,81.0,12.8
Dar es Salaam,Tanzania,5376,Dar Facility 1202,Health Center,22,16,50,11629,42,105852,Yes,No,72.7,1.5
Southern Zambia,Zambia,5777,Southern Facility 1203,Health Center,62,11,15,1126,57,192002,Yes,No,93.4,14.7
Northern Ghana,Ghana,6614,Northern Facility 1204,Hospital,45,12,43,10865,16,11565,Yes,Yes,69.1,17.0
Central Malawi,Malawi,8159,Central Facility 1205,Clinic,96,15,18,14363,27,33655,No,Yes,94.8,12.7
Northern Ghana,Ghana,869,Northern Facility 1206,Clinic,9,1,44,3249,42,23124,Yes,No,86.0,17.8
Northern Ghana,Ghana,5702,Northern Facility 1207,Hospital,98,16,27,7841,56,177699,Yes,Yes,84.1,15.0
Western Kenya,Kenya,8924,Western Facility 1208,Clinic,76,19,18,3898,40,124696,No,No,84.7,8.1
Western Kenya,Kenya,9604,Western Facility 1209,Clinic,38,13,17,4299,18,78283,Yes,No,74.8,2.6
Dar es Salaam,Tanzania,6135,Dar Facility 1210,Hospital,46,16,13,10915,52,198845,No,No,91.9,8.7
Southern Zambia,Zambia,7138,Southern Facility 1211,Health Center,90,7,12,18763,21,151182,No,Yes,85.0,8.5
Western Uganda,Uganda,6936,Western Facility 1212,Hospital,7,9,23,9620,9,125552,Yes,Yes,78.7,17.0
Dar es Salaam,Tanzania,9142,Dar Facility 1213,Clinic,82,2,13,2399,8,97126,Yes,Yes,84.0,13.3
Eastern Ethiopia,Ethiopia,5101,Eastern Facility 1214,Hospital,20,8,31,13320,23,97989,No,Yes,72.6,13.8
Western Kenya,Kenya,2158,Western Facility 1215,Clinic,62,6,22,11643,10,143320,Yes,Yes,80.5,15.6
Southern Zambia,Zambia,8008,Southern Facility 1216,Health Center,70,20,19,9336,26,88533,Yes,Yes,73.6,14.3
Eastern Ethiopia,Ethiopia,883,Eastern Facility 1217,Health Center,29,13,26,2277,11,84367,No,Yes,79.3,4.3
Northern Ghana,Ghana,827,Northern Facility 1218,Hospital,70,11,39,7184,14,85232,Yes,Yes,68.7,12.0
Northern Ghana,Ghana,5312,Northern Facility 1219,Hospital,39,4,11,5528,41,79494,Yes,Yes,62.7,16.0
Northern Ghana,Ghana,3701,Northern Facility 1220,Hospital,26,12,13,8987,9,69977,No,No,86.5,6.5
Eastern Ethiopia,Ethiopia,2429,Eastern Facility 1221,Health Center,81,5,18,17926,38,25181,Yes,No,71.9,7.9
Northern Ghana,Ghana,3383,Northern Facility 1222,Hospital,45,16,11,9786,6,157553,No,No,73.1,17.5
Central Senegal,Senegal,9464,Central Facility 1223,Clinic,24,20,47,10646,57,13962,Yes,No,89.2,5.3
Northern Ghana,Ghana,9161,Northern Facility 1224,Clinic,17,18,33,7475,46,78843,Yes,Yes,93.6,12.8
Northern Ghana,Ghana,7990,Northern Facility 1225,Health Center,89,14,48,6611,43,18030,Yes,Yes,92.9,19.7
Eastern Rwanda,Rwanda,3326,Eastern Facility 1226,Health Center,81,19,49,4881,25,33567,Yes,Yes,63.8,16.3
Western Kenya,Kenya,3242,Western Facility 1227,Health Center,75,15,41,9810,19,187479,Yes,No,90.1,19.0
Western Uganda,Uganda,5155,Western Facility 1228,Hospital,59,13,13,3771,24,177959,Yes,Yes,85.5,8.0
Western Kenya,Kenya,7705,Western Facility 1229,Hospital,38,5,22,9973,10,117547,No,No,80.3,17.8
Eastern Nigeria,Nigeria,8245,Eastern Facility 1230,Hospital,62,12,38,14791,12,187921,Yes,No,67.9,16.0
Southern Zambia,Zambia,6290,Southern Facility 1231,Clinic,55,10,40,17080,16,157930,Yes,No,72.0,15.1
Central Senegal,Senegal,5158,Central Facility 1232,Health Center,33,1,42,10953,41,28553,No,Yes,74.5,4.7
Central Senegal,Senegal,3003,Central Facility 1233,Hospital,50,17,18,14731,55,89078,No,Yes,79.2,17.8
Northern Ghana,Ghana,609,Northern Facility 1234,Health Center,19,12,48,14458,40,190690,Yes,Yes,86.9,5.5
Eastern Nigeria,Nigeria,895,Eastern Facility 1235,Clinic,55,8,46,2991,16,120233,Yes,Yes,92.7,9.9
Eastern Ethiopia,Ethiopia,9258,Eastern Facility 1236,Hospital,27,9,36,15244,17,42289,Yes,No,81.7,7.7
Southern Zambia,Zambia,5860,Southern Facility 1237,Clinic,15,10,40,11044,16,145074,Yes,No,88.8,17.8
Central Senegal,Senegal,7358,Central Facility 1238,Hospital,43,17,6,10162,46,78540,Yes,Yes,90.4,14.3
Eastern Ethiopia,Ethiopia,3143,Eastern Facility 1239,Hospital,74,19,16,11623,54,162362,No,No,85.9,5.8
Dar es Salaam,Tanzania,576,Dar Facility 1240,Health Center,98,16,16,16590,17,150979,No,Yes,81.3,17.7
Eastern Ethiopia,Ethiopia,7027,Eastern Facility 1241,Health Center,81,17,50,19404,10,179949,No,Yes,73.4,12.0
Southern Zambia,Zambia,3952,Southern Facility 1242,Health Center,6,18,45,12806,11,180086,No,Yes,65.1,2.5
Central Malawi,Malawi,5904,Central Facility 1243,Hospital,54,20,22,11025,13,141988,Yes,Yes,89.3,3.5
Eastern Nigeria,Nigeria,3035,Eastern Facility 1244,Health Center,13,19,7,14498,18,96012,Yes,No,90.1,13.0
Eastern Ethiopia,Ethiopia,9268,Eastern Facility 1245,Health Center,41,18,29,17816,52,11406,Yes,Yes,86.6,2.4
Southern Zambia,Zambia,2993,Southern Facility 1246,Hospital,30,8,32,3844,7,48275,No,Yes,75.4,15.4
Central Senegal,Senegal,1539,Central Facility 1247,Hospital,44,19,50,6041,48,48447,Yes,No,80.7,17.2
Western Kenya,Kenya,3416,Western Facility 1248,Health Center,77,13,37,8251,51,125457,No,Yes,70.6,5.3
Eastern Rwanda,Rwanda,6753,Eastern Facility 1249,Hospital,97,13,15,14826,30,154319,No,No,85.7,7.8
Northern Ghana,Ghana,7712,Northern Facility 1250,Health Center,59,4,49,2087,9,117694,Yes,Yes,71.4,4.8
Western Kenya,Kenya,898,Western Facility 1251,Health Center,94,10,29,4749,12,170879,No,No,75.0,10.0
Central Malawi,Malawi,8264,Central Facility 1252,Hospital,86,6,10,4446,47,181395,No,Yes,87.2,16.5
Eastern Ethiopia,Ethiopia,9218,Eastern Facility 1253,Health Center,21,4,22,5123,25,116838,Yes,No,79.6,15.1
Northern Ghana,Ghana,1989,Northern Facility 1254,Health Center,56,16,18,19539,14,109994,Yes,Yes,68.4,17.8
Southern Zambia,Zambia,7784,Southern Facility 1255,Clinic,42,16,14,19424,56,199658,No,No,86.4,14.0
Southern Zambia,Zambia,3192,Southern Facility 1256,Health Center,5,4,18,17557,23,128913,Yes,No,82.4,9.4
Eastern Nigeria,Nigeria,9769,Eastern Facility 1257,Clinic,55,15,7,10817,25,130829,No,No,72.3,18.3
Western Uganda,Uganda,9145,Western Facility 1258,Clinic,68,9,33,14351,17,110357,No,Yes,69.2,1.9
Central Senegal,Senegal,1665,Central Facility 1259,Hospital,33,19,22,15022,12,53643,No,Yes,68.4,12.7
Eastern Ethiopia,Ethiopia,2054,Eastern Facility 1260,Clinic,30,7,11,9456,7,182939,Yes,No,74.4,4.6
